name,price,engineSize,year,mileage,fuelType,ratio
Mercedes-Benz CLA,97000,1998 ,2016 ,29 850 km,Benzyna,48548.54854854855
Fiat Tipo II,66300,1368 ,2018 ,1 km,Benzyna,48464.912280701756
Volkswagen Golf Sportsvan,67700,1400 ,2015 ,48 500 km,Benzyna,48357.142857142855
Volkswagen Golf VII,77100,1598 ,2018 ,5 km,Diesel,48247.809762202756
Audi Q5 8R,94900,1968 ,2013 ,155 000 km,Diesel,48221.544715447155
Renault Kadjar,78000,1618 ,2017 ,15 000 km,Benzyna,48207.66378244747
Volkswagen Golf VII,76900,1598 ,2018 ,22 900 km,Diesel,48122.65331664581
Dacia Sandero II,47900,998,2018 ,4 086 km,Benzyna,47995.991983967935
Seat Leon III,67186,1400 ,2017 ,38 000 km,Benzyna,47990
Renault Megane IV,63900,1332 ,2018 ,1 km,Benzyna,47972.97297297297
Nissan Qashqai II,57500,1200 ,2016 ,48 500 km,Benzyna,47916.666666666664
Volkswagen Golf VI,95500,1995 ,2015 ,12 000 km,Benzyna,47869.67418546366
Mazda 2 III,71530,1496 ,2019 ,1 km,Benzyna,47814.17112299465
Škoda Fabia III,47750,1000 ,2019 ,5 km,Benzyna,47750
Mercedes-Benz CLA,95000,1991 ,2017 ,8 500 km,Benzyna,47714.71622300351
Opel Astra K,66699,1399 ,2018 ,1 km,Benzyna,47676.19728377412
Audi SQ5,143000,3000 ,2013 ,152 000 km,Diesel,47666.666666666664
Ford Mustang,109500,2300 ,2017 ,37 000 km,Benzyna,47608.69565217391
BMW Seria 5 F10,94900,1997 ,2015 ,140 000 km,Benzyna,47521.28192288433
Volkswagen Golf VII,65999,1395 ,2018 ,39 407 km,Benzyna,47311.11111111111
Citroën C3 II,56700,1199 ,2018 ,1 km,Benzyna,47289.40783986656
Volkswagen Passat B8,93000,1968 ,2018 ,1 km,Diesel,47256.09756097561
Volkswagen Passat B8,85000,1800 ,2017 ,66 249 km,Benzyna,47222.22222222222
Volkswagen Golf VII,75500,1600 ,2018 ,1 km,Diesel,47187.5
BMW Seria 5 F10,140990,2993 ,2016 ,92 000 km,Diesel,47106.582024724354
Volkswagen Caddy IV,92700,1968 ,2018 ,10 600 km,Diesel,47103.65853658536
Volkswagen Caddy IV,92500,1968 ,2019 ,5 km,Diesel,47002.0325203252
Volkswagen Caddy IV,92500,1968 ,2019 ,5 km,Diesel,47002.0325203252
Volkswagen Golf VII,94000,2000 ,2015 ,98 413 km,Benzyna,47000
Škoda Octavia III,93900,1998 ,2019 ,8 km,Diesel,46996.996996997
Renault Megane IV,75000,1600 ,2016 ,49 000 km,Benzyna,46875
Seat Leon III,74900,1598 ,2018 ,3 000 km,Diesel,46871.08886107634
BMW Seria 1 F20,93495,1995 ,2017 ,9 km,Diesel,46864.661654135336
Volkswagen Crafter,91900,1968 ,2018 ,5 km,Diesel,46697.154471544716
Mercedes-Benz Klasa E W212,99900,2143 ,2014 ,122 900 km,Diesel,46616.89220718619
Hyundai Tucson II,92900,2000 ,2016 ,110 000 km,Diesel,46450
Seat Leon III,64990,1400 ,2018 ,17 000 km,Benzyna,46421.42857142857
BMW X5 F15,139000,3000 ,2014 ,90 000 km,Diesel,46333.333333333336
Citroën C3 II,55500,1199 ,2018 ,1 km,Benzyna,46288.573811509596
Ford Focus Mk3,69300,1498 ,2018 ,1 km,Diesel,46261.68224299065
Audi A6 C7,92250,2000 ,2016 ,114 941 km,Diesel,46125
Audi A6 C7,92250,2000 ,2016 ,96 941 km,Diesel,46125
Škoda Superb III,82900,1798 ,2016 ,68 000 km,Benzyna,46106.78531701891
Ford Galaxy Mk3,92000,1997 ,2015 ,51 826 km,Diesel,46069.103655483224
Volkswagen up!,45999,999,2018 ,1 km,Benzyna,46045.045045045044
Škoda Fabia III,45900,999,2018 ,16 616 km,Benzyna,45945.94594594595
Ford Kuga II,68900,1500 ,2017 ,106 000 km,Diesel,45933.33333333333
Ford Mustang,238000,5200 ,2016 ,38 000 km,Benzyna,45769.230769230766
Citroën C3 III,54900,1200 ,2018 ,1 km,Benzyna,45750
Renault Megane IV,60900,1333 ,2018 ,530 km,Benzyna,45686.42160540135
Volkswagen CC,89900,1968 ,2015 ,44 596 km,Diesel,45680.89430894309
Volvo V70 III,89900,1969 ,2015 ,91 500 km,Diesel,45657.694261046214
Kia Sportage IV,72900,1598 ,2017 ,19 000 km,Benzyna,45619.52440550688
BMW Seria 5 F10,91000,1995 ,2015 ,149 000 km,Diesel,45614.035087719305
Volkswagen Golf VII,72900,1600 ,2018 ,1 km,Diesel,45562.5
Škoda Superb III,89662,1968 ,2016 ,94 854 km,Diesel,45559.9593495935
Škoda Octavia III,81900,1800 ,2015 ,64 000 km,Benzyna,45500
Nissan Juke,72254,1598 ,2019 ,1 km,Benzyna,45215.26908635795
Mercedes-Benz Klasa E W213,134900,2987 ,2016 ,99 000 km,Diesel,45162.370271175096
Volkswagen Golf Sportvan,63000,1395 ,2014 ,25 099 km,Benzyna,45161.29032258065
Volkswagen Golf Sportsvan,63000,1395 ,2014 ,25 099 km,Benzyna,45161.29032258065
BMW X5 F15,135000,2993 ,2014 ,109 000 km,Diesel,45105.24557300368
Toyota Auris II,81000,1798 ,2016 ,26 500 km,Hybryda,45050.05561735261
BMW Seria 1 F20,90000,1998 ,2017 ,56 000 km,Benzyna,45045.045045045044
BMW Seria 1 F20,89900,1996 ,2016 ,19 600 km,Diesel,45040.08016032064
Ford S-Max II,89900,1997 ,2016 ,93 000 km,Diesel,45017.52628943415
Toyota Corolla Seria,71900,1598 ,2018 ,27 421 km,Benzyna,44993.74217772215
Kia Sportage III,71543,1591 ,2018 ,10 km,Benzyna,44967.31615336267
Škoda Superb III,89900,2000 ,2017 ,31 242 km,Diesel,44950
Volvo XC 60 I,89900,2000 ,2015 ,127 000 km,Diesel,44950
Audi Q3,89900,2000 ,2015 ,27 000 km,Diesel,44950
Volkswagen Golf VII,71900,1600 ,2018 ,1 km,Diesel,44937.5
Citroën C3 II,53750,1199 ,2018 ,760 km,Benzyna,44829.02418682235
Volkswagen up!,44800,1000 ,2018 ,5 km,Benzyna,44800
Nissan Juke,71400,1598 ,2018 ,1 km,Benzyna,44680.85106382978
Škoda Octavia III,87900,1968 ,2017 ,121 168 km,Diesel,44664.634146341465
Hyundai i20 II,53500,1200 ,2019 ,5 km,Benzyna,44583.333333333336
BMW Z4 E89,89000,2000 ,2012 ,39 900 km,Benzyna,44500
Dacia Sandero II,39900,898,2019 ,10 km,Benzyna,44432.07126948775
Dacia Logan II,39900,898,2017 ,12 500 km,Benzyna,44432.07126948775
Renault Kadjar,64900,1461 ,2017 ,116 000 km,Diesel,44421.629021218345
Kia Optima,75500,1700 ,2017 ,32 889 km,Diesel,44411.76470588236
Volkswagen Golf VII,61900,1395 ,2018 ,24 800 km,Benzyna,44372.75985663082
Volkswagen Multivan,86900,1968 ,2012 ,146 300 km,Diesel,44156.50406504065
BMW Seria 5 F10,88000,2000 ,2013 ,193 000 km,Diesel,44000
Ford Mondeo Mk5,65900,1498 ,2016 ,62 000 km,Benzyna,43991.98931909212
Aston Martin V8 Vantage,189000,4300 ,2008 ,50 000 km,Benzyna,43953.48837209303
Citroën C-Elysée,52690,1199 ,2018 ,1 km,Benzyna,43944.95412844037
Nissan Juke,69888,1598 ,2019 ,1 km,Benzyna,43734.66833541927
BMW Seria 2,87000,2000 ,2015 ,119 990 km,Diesel,43500
Renault Kadjar,69500,1598 ,2015 ,75 000 km,Diesel,43491.864831038794
Audi A6 Allroad C7,129000,2967 ,2012 ,187 550 km,Diesel,43478.260869565216
Nissan Juke,69500,1600 ,2018 ,1 km,Benzyna,43437.5
BMW Seria 2,65050,1499 ,2016 ,20 000 km,Benzyna,43395.59706470981
Lexus CT,78000,1798 ,2018 ,1 km,Hybryda,43381.53503893215
Jeep Grand Cherokee IV,130000,3000 ,2013 ,90 000 km,Diesel,43333.333333333336
Hyundai i20 II,51700,1200 ,2019 ,5 km,Benzyna,43083.333333333336
BMW Seria 5 G30,85992,1998 ,2017 ,64 500 km,Diesel,43039.03903903904
Volkswagen Golf VII,60200,1400 ,2016 ,43 000 km,Benzyna,43000
Nissan Juke,68800,1600 ,2018 ,1 km,Benzyna,43000
Audi Q5 8R,85900,2000 ,2012 ,121 000 km,Diesel,42950
Hyundai Tucson II,85900,2000 ,2016 ,59 000 km,Diesel,42950
Mercedes-Benz CLA,85900,2000 ,2014 ,31 000 km,Benzyna,42950
Volkswagen Caddy IV,83900,1968 ,2019 ,5 km,Diesel,42632.11382113821
Volkswagen Golf VII,84900,2000 ,2015 ,64 684 km,Diesel,42450
Volkswagen Golf VI,59000,1390 ,2015 ,36 255 km,Benzyna,42446.04316546763
Renault Espace V,67900,1600 ,2015 ,170 000 km,Diesel,42437.5
BMW 5GT,84777,1998 ,2012 ,98 000 km,Diesel,42430.93093093093
Jeep Grand Cherokee IV,125000,2949 ,2013 ,86 639 km,Diesel,42387.249915225504
Renault Captur,61900,1461 ,2017 ,15 000 km,Diesel,42368.24093086927
Renault Captur,38000,898,2013 ,139 871 km,Benzyna,42316.2583518931
Renault Talisman,67700,1600 ,2017 ,144 134 km,Diesel,42312.5
Audi Q5 8R,84500,2000 ,2013 ,188 000 km,Diesel,42250
Volkswagen Golf VII,80000,1900 ,2018 ,1 900 km,Diesel,42105.26315789474
Opel Mokka,57300,1364 ,2013 ,63 350 km,Benzyna,42008.79765395894
Mercedes-Benz Klasa E W212,84000,2000 ,2013 ,212 000 km,Benzyna,42000
BMW Seria 3 F30,183707,68,2000 ,2018 ,21 000 km,Diesel,null
Maserati Levante,124900,2979 ,2018 ,8 500 km,Benzyna,41926.82108089963
Mini Countryman,69104,88,1598 ,2015 ,65 400 km,Benzyna,null
Ford Focus Mk3,53764,43,1500 ,2017 ,14 000 km,Diesel,null
Volkswagen Amarok,100406,5,2967 ,2018 ,5 300 km,Diesel,null
Mini Countryman,42799,52,1600 ,2011 ,156 000 km,Benzyna,null
Renault Megane IV,55800,1332 ,2018 ,10 km,Benzyna,41891.89189189189
Renault Megane IV,55800,1332 ,2018 ,10 km,Benzyna,41891.89189189189
Ford S-Max II,83300,1997 ,2016 ,101 084 km,Diesel,41712.56885327992
Audi A6 C7,81900,1968 ,2014 ,168 694 km,Diesel,41615.85365853659
Volkswagen Caddy IV,81849,1968 ,2019 ,5 km,Diesel,41589.939024390245
Fiat Tipo II,56700,1368 ,2018 ,1 km,Benzyna,41447.36842105263
Hyundai Tucson II,82500,2000 ,2018 ,7 872 km,Benzyna,41250
Renault Megane IV,65900,1598 ,2018 ,14 084 km,Benzyna,41239.04881101377
Ford Ranger,131499,3200 ,2018 ,1 km,Diesel,41093.4375
Ford Mondeo Mk5,81900,1997 ,2016 ,146 000 km,Diesel,41011.517275913866
Ford Kuga II,81900,1997 ,2017 ,129 000 km,Diesel,41011.517275913866
Volkswagen Golf VII,57000,1390 ,2013 ,58 961 km,Benzyna,41007.19424460431
Mazda 3 III,81900,1998 ,2018 ,6 900 km,Benzyna,40990.99099099099
Renault Megane IV,49000,1197 ,2016 ,55 000 km,Benzyna,40935.67251461988
Mercedes-Benz GLK GLK,90000,2200 ,2013 ,122 900 km,Diesel,40909.090909090904
Ford Fiesta Mk8,44900,1100 ,2018 ,11 000 km,Benzyna,40818.18181818182
Škoda Superb III,81000,1986 ,2016 ,60 000 km,Diesel,40785.49848942598
BMW Seria 6 F12/13,179000,4395 ,2014 ,57 000 km,Benzyna,40728.10011376564
Lexus CT,72900,1798 ,2015 ,39 011 km,Hybryda,40545.05005561735
Audi A6 C7,119900,2967 ,2014 ,189 382 km,Diesel,40411.18975396023
Porsche 911 997,153000,3800 ,2009 ,134 700 km,Benzyna,40263.15789473684
Hyundai Tucson II,63901,1591 ,2017 ,30 062 km,Benzyna,40164.047768698925
BMW X3 F25,79999,1995 ,2012 ,129 000 km,Diesel,40099.74937343358
BMW Seria 3 F30,79900,1995 ,2016 ,77 900 km,Diesel,40050.12531328321
Mitsubishi Lancer Evolution,79900,1995 ,2013 ,81 000 km,Benzyna,40050.12531328321
Opel Mokka,63999,1598 ,2016 ,47 000 km,Diesel,40049.436795994996
Audi A6 C7,80000,1998 ,2012 ,114 000 km,Diesel,40040.04004004004
Volvo XC 60 I,96000,2400 ,2014 ,112 000 km,Diesel,40000
Audi A6 C7,79900,2000 ,2014 ,36 000 km,Benzyna,39950
Audi Q3,79900,2000 ,2015 ,80 000 km,Benzyna,39950
Hyundai Tucson I,79900,2000 ,2015 ,80 000 km,Diesel,39950
BMW Seria 4,79900,2000 ,2014 ,104 000 km,Benzyna,39950
Nissan X-Trail III,63900,1600 ,2015 ,149 000 km,Diesel,39937.5
Audi A6 C7,79800,2000 ,2016 ,194 871 km,Diesel,39900
Škoda Citigo,39900,1000 ,2018 ,7 km,Benzyna,39900
Smart Fortwo III,39900,1000 ,2018 ,2 980 km,Benzyna,39900
Audi Q7 I,119500,3000 ,2013 ,56 000 km,Diesel,39833.333333333336
BMW Seria 5 F10,119500,3000 ,2015 ,14 000 km,Diesel,39833.333333333336
Audi A5 8T,119000,2995 ,2013 ,103 000 km,Benzyna,39732.88814691152
Mercedes-Benz GLK GLK,84900,2143 ,2012 ,134 000 km,Diesel,39617.35884274382
Volvo XC 60 I,95000,2400 ,2015 ,229 060 km,Diesel,39583.333333333336
Dacia Duster,63250,1598 ,2019 ,1 km,Benzyna,39580.72590738423
Volkswagen Tiguan I,55000,1390 ,2014 ,126 000 km,Benzyna,39568.34532374101
Renault Megane III,79000,1998 ,2014 ,69 100 km,Benzyna,39539.53953953954
Audi Q5 8R,77700,1968 ,2014 ,189 000 km,Diesel,39481.707317073175
Ford S-Max II,78800,1997 ,2016 ,155 000 km,Diesel,39459.18878317476
Audi A6 C7,117000,2967 ,2013 ,173 000 km,Diesel,39433.77148634985
Volkswagen Passat B8,55000,1395 ,2015 ,110 500 km,Benzyna,39426.52329749104
Volkswagen Golf VII,55000,1400 ,2016 ,70 000 km,Benzyna,39285.71428571428
Volvo XC 60 I,78500,2000 ,2014 ,178 000 km,Diesel,39250
Opel Zafira C,54900,1400 ,2015 ,34 222 km,Benzyna,39214.28571428572
Audi Q7 I,117500,3000 ,2012 ,192 000 km,Diesel,39166.666666666664
Volkswagen Golf VII,54470,1395 ,2017 ,27 913 km,Benzyna,39046.59498207885
Jeep Cherokee V,77777,2000 ,2015 ,152 000 km,Diesel,38888.5
Opel Astra J,53000,1364 ,2015 ,67 500 km,Benzyna+LPG,38856.30498533724
Dacia Sandero II,38700,998,2019 ,1 km,Benzyna,38777.55511022044
Dacia Sandero II,38700,998,2019 ,1 km,Benzyna,38777.55511022044
Hyundai I30 III,61900,1600 ,2017 ,131 000 km,Diesel,38687.5
Ford Focus Mk4,76900,1995 ,2018 ,7 900 km,Diesel,38546.36591478697
BMW Seria 5 G30,76900,1995 ,2017 ,81 000 km,Diesel,38546.36591478697
Kia Sportage IV,64900,1685 ,2017 ,18 900 km,Diesel,38516.32047477745
Peugeot 508,76900,2000 ,2016 ,142 950 km,Hybryda,38450
Audi A3 8P,46000,1197 ,2012 ,77 362 km,Benzyna,38429.406850459476
Citroën C3 II,46000,1199 ,2018 ,1 km,Benzyna,38365.304420350294
Mazda CX-3,76500,2000 ,2015 ,24 247 km,Benzyna,38250
Hyundai i40,64950,1700 ,2015 ,65 484 km,Diesel,38205.882352941175
Mercedes-Benz GLK GLK,84000,2200 ,2015 ,75 000 km,Diesel,38181.81818181818
BMW Seria 5 F10,76000,1995 ,2012 ,138 800 km,Diesel,38095.23809523809
Toyota Yaris III,57000,1497 ,2018 ,6 781 km,Benzyna,38076.15230460922
Nissan Qashqai II,60900,1600 ,2014 ,84 000 km,Diesel,38062.5
Nissan Juke,45527,1197 ,2017 ,19 181 km,Benzyna,38034.25229741019
Dacia Duster,60750,1598 ,2018 ,1 km,Benzyna,38016.2703379224
Porsche 944,94900,2499 ,1990 ,197 000 km,Benzyna,37975.19007603041
Škoda Fabia III,37900,999,2017 ,8 750 km,Benzyna,37937.93793793794
Nissan Qashqai II,56900,1500 ,2014 ,163 000 km,Diesel,37933.33333333333
Citroën C3 III,45500,1200 ,2018 ,2 km,Benzyna,37916.666666666664
Opel Corsa E,37900,1000 ,2016 ,45 000 km,Benzyna,37900
Mercedes-Benz Klasa A W176,68000,1796 ,2013 ,116 000 km,Diesel,37861.9153674833
Toyota Auris II,52900,1398 ,2016 ,59 500 km,Diesel,37839.77110157367
Mercedes-Benz Klasa E W212,68000,1798 ,2010 ,84 350 km,Benzyna,37819.79977753059
BMW X6 E71,113000,3000 ,2010 ,178 000 km,Diesel,37666.666666666664
BMW Seria 5 F10,75000,1995 ,2014 ,149 000 km,Diesel,37593.984962406015
Ford Kuga II,75000,1997 ,2014 ,90 000 km,Diesel,37556.33450175263
Škoda Octavia III,74500,1984 ,2014 ,89 700 km,Benzyna,37550.40322580645
Toyota Avensis III,60000,1598 ,2015 ,76 789 km,Diesel,37546.93366708385
Ford Focus Mk3,75000,1999 ,2013 ,125 000 km,Benzyna,37518.75937968984
Honda CR-V IV,74900,1997 ,2014 ,61 903 km,Benzyna,37506.25938908362
Škoda Citigo,37500,1000 ,2019 ,5 km,Benzyna,37500
Ford Ranger,119999,3200 ,2018 ,1 km,Diesel,37499.6875
Mazda 6 III,74900,1998 ,2014 ,106 000 km,Benzyna,37487.48748748749
Nissan Juke,59900,1598 ,2018 ,33 000 km,Benzyna,37484.35544430538
Volvo V60,74900,1999 ,2016 ,30 090 km,Benzyna,37468.73436718359
Volvo XC 60 I,89900,2400 ,2013 ,66 726 km,Diesel,37458.333333333336
BMW Seria 3 F30,74900,2000 ,2015 ,18 000 km,Benzyna,37450
Opel Astra J,51000,1362 ,2017 ,30 695 km,Benzyna+LPG,37444.93392070485
Toyota Auris II,59900,1600 ,2017 ,14 700 km,Benzyna,37437.5
Opel Insignia A,59900,1600 ,2017 ,7 200 km,Benzyna,37437.5
Hyundai Tucson II,59900,1600 ,2016 ,44 500 km,Benzyna,37437.5
Audi SQ5,112000,2995 ,2014 ,82 000 km,Benzyna,37395.659432387314
Volvo XC 70,89600,2400 ,2014 ,168 351 km,Diesel,37333.333333333336
Nissan X-Trail III,59700,1600 ,2015 ,155 000 km,Diesel,37312.5
Škoda Octavia III,73821,1984 ,2014 ,114 773 km,Benzyna,37208.16532258065
Audi A4 B8,73169,1968 ,2016 ,12 945 km,Diesel,37179.36991869919
Opel Insignia A,72600,1956 ,2017 ,70 849 km,Diesel,37116.56441717791
Volkswagen Tiguan I,51500,1390 ,2012 ,60 772 km,Benzyna,37050.359712230216
Fiat 500,46000,1242 ,2017 ,12 783 km,Benzyna,37037.03703703704
Kia Sportage IV,88888,2400 ,2017 ,42 000 km,Benzyna,37036.66666666667
Mazda CX-5,73900,1998 ,2014 ,119 000 km,Benzyna,36986.98698698699
Toyota Yaris III,36900,998,2015 ,78 578 km,Benzyna,36973.947895791585
BMW X3 F25,73800,2000 ,2011 ,179 000 km,Diesel,36900
Toyota Auris II,49000,1329 ,2016 ,60 461 km,Benzyna+LPG,36869.826937547026
Renault Megane IV,58900,1598 ,2016 ,48 633 km,Benzyna,36858.57321652066
Renault Kadjar,58900,1600 ,2015 ,179 000 km,Diesel,36812.5
Dacia Duster,58800,1598 ,2019 ,1 km,Benzyna,36795.99499374218
Volkswagen Golf VI,72900,1984 ,2011 ,73 928 km,Benzyna,36743.95161290323
Infiniti QX70,109900,2993 ,2014 ,104 000 km,Diesel,36719.01102572669
Kia Ceed II,58700,1600 ,2017 ,23 524 km,Diesel,36687.5
Nissan Juke,43902,1197 ,2014 ,71 000 km,Benzyna,36676.69172932331
Renault Coupe,44000,1200 ,2016 ,23 000 km,Benzyna,36666.666666666664
Opel Astra K,51218,1399 ,2016 ,25 721 km,Benzyna,36610.43602573267
Škoda Citigo,36600,1000 ,2018 ,5 km,Benzyna,36600
BMW Seria 1 F20,73000,1995 ,2016 ,49 800 km,Diesel,36591.478696741855
Volkswagen Caddy IV,71999,1968 ,2019 ,5 km,Diesel,36584.85772357724
Ford Ranger,117000,3200 ,2017 ,36 800 km,Diesel,36562.5
Ford S-Max II,72900,1997 ,2015 ,154 000 km,Diesel,36504.757135703556
Audi A6 C7,73000,2000 ,2015 ,137 000 km,Diesel,36500
Hyundai ix35,58000,1591 ,2012 ,28 067 km,Benzyna,36455.05971087366
Volvo V40 II,72900,2000 ,2016 ,11 500 km,Diesel,36450
Kia Ceed II,58200,1600 ,2017 ,28 251 km,Diesel,36375
Kia Ceed II,58200,1600 ,2017 ,28 251 km,Diesel,36375
Kia Ceed II,58200,1600 ,2017 ,35 274 km,Diesel,36375
Volvo XC 70,109000,3000 ,2015 ,91 000 km,Benzyna,36333.333333333336
Mitsubishi Outlander III,79900,2200 ,2016 ,45 500 km,Diesel,36318.18181818182
Mini Clubman,54470,1500 ,2017 ,55 000 km,Diesel,36313.333333333336
Kia Sportage III,57990,1600 ,2015 ,154 085 km,Benzyna,36243.75
Dacia Duster,57900,1598 ,2019 ,10 km,Benzyna,36232.79098873592
Mercedes-Benz Klasa A W176,64900,1796 ,2013 ,53 971 km,Diesel,36135.8574610245
BMW X3 F25,72000,1995 ,2013 ,190 500 km,Diesel,36090.22556390978
Volkswagen Passat B8,71900,2000 ,2015 ,99 400 km,Diesel,35950
Škoda RAPID,42999,1197 ,2014 ,88 700 km,Benzyna,35922.30576441103
Toyota RAV4 IV,89700,2500 ,2017 ,119 271 km,Hybryda,35880
Volkswagen New Beetle,42900,1197 ,2013 ,109 600 km,Benzyna,35839.59899749373
Seat Leon III,42900,1197 ,2017 ,51 000 km,Benzyna,35839.59899749373
Kia Rio IV,42900,1200 ,2018 ,16 000 km,Benzyna,35750
Mercedes-Benz Klasa E W212,125000,3498 ,2014 ,106 000 km,Benzyna,35734.7055460263
Audi A7 C7,105900,2967 ,2012 ,179 504 km,Diesel,35692.61880687563
Audi A3 8V,49900,1400 ,2015 ,30 000 km,Benzyna,35642.857142857145
Dacia Sandero Stepway,32000,898,2014 ,27 000 km,Benzyna,35634.74387527839
Hyundai i40,60000,1685 ,2015 ,123 638 km,Diesel,35608.30860534124
Mazda 6 III,89000,2500 ,2015 ,67 500 km,Benzyna,35600
Volkswagen Caravelle,70000,1968 ,2014 ,195 000 km,Diesel,35569.10569105691
Škoda Superb II,69999,1968 ,2015 ,108 200 km,Diesel,35568.59756097561
Jeep Grand Cherokee IV,128000,3600 ,2016 ,46 000 km,Benzyna+LPG,35555.555555555555
Mazda 6 III,77900,2191 ,2014 ,116 800 km,Diesel,35554.541305340026
Audi Q5 8R,69900,1968 ,2013 ,175 000 km,Diesel,35518.292682926825
Volkswagen Passat B8,69900,1968 ,2015 ,86 964 km,Diesel,35518.292682926825
Opel Astra J,49700,1400 ,2015 ,53 000 km,Benzyna,35500
BMW Seria 5 F10,71000,2000 ,2012 ,199 000 km,Diesel,35500
Ford Mondeo Mk5,70900,2000 ,2016 ,75 512 km,Diesel,35450
Fiat 500,44000,1242 ,2016 ,10 370 km,Benzyna,35426.731078904995
Dacia Duster,56550,1598 ,2019 ,1 km,Benzyna,35387.98498122653
BMW Seria 2,52900,1496 ,2016 ,152 000 km,Diesel,35360.962566844915
Volkswagen Jetta A6,49000,1390 ,2014 ,74 815 km,Benzyna,35251.798561151074
BMW X6 E71,105000,2979 ,2014 ,75 160 km,Benzyna,35246.72708962739
Hyundai i40,59900,1700 ,2016 ,116 000 km,Diesel,35235.294117647056
Dacia Duster,56100,1598 ,2019 ,1 km,Benzyna+LPG,35106.382978723406
Volkswagen CC,48779,1390 ,2014 ,78 272 km,Benzyna,35092.80575539568
Škoda RAPID,42000,1197 ,2017 ,14 549 km,Benzyna,35087.71929824562
Ford Focus Mk3,35000,998,2012 ,133 687 km,Benzyna,35070.14028056112
Renault Megane III,42000,1198 ,2015 ,45 133 km,Benzyna,35058.430717863106
Ford S-Max II,69900,1997 ,2015 ,190 000 km,Diesel,35002.50375563345
BMW Seria 5 F10,105000,3000 ,2013 ,148 000 km,Diesel,35000
Renault Grand Scenic IV,42000,1200 ,2017 ,30 000 km,Benzyna,35000
BMW Seria 5 F10,69800,1995 ,2012 ,119 000 km,Diesel,34987.4686716792
Toyota Yaris III,34900,998,2016 ,64 500 km,Benzyna,34969.93987975952
Hyundai i40,58899,1685 ,2015 ,44 659 km,Diesel,34954.89614243324
Audi A8 D4,139800,4000 ,2013 ,74 000 km,Benzyna,34950
Volkswagen up!,34900,999,2018 ,8 920 km,Benzyna,34934.934934934936
Renault Clio IV,41900,1200 ,2018 ,16 000 km,Benzyna,34916.666666666664
BMW X3 F25,69700,2000 ,2015 ,156 259 km,Diesel,34850
Audi A6 C7,68500,1968 ,2013 ,212 500 km,Diesel,34806.91056910569
Nissan Navara,80000,2300 ,2016 ,47 000 km,Diesel,34782.60869565217
Citroën C-Elysée,41610,1199 ,2018 ,650 km,Benzyna,34703.91993327773
Suzuki SX4 S-Cross,55000,1586 ,2014 ,27 450 km,Benzyna,34678.43631778058
BMW Seria 5 F10,104000,3000 ,2011 ,188 565 km,Diesel,34666.666666666664
BMW Seria 5 F10,69000,1995 ,2013 ,182 000 km,Diesel,34586.466165413534
Fiat 500,41500,1200 ,2015 ,16 800 km,Benzyna,34583.333333333336
Mazda 6 III,69000,1998 ,2015 ,81 000 km,Benzyna,34534.534534534534
Audi A3 8V,67900,1968 ,2015 ,74 350 km,Diesel,34502.0325203252
Volkswagen Passat B8,67900,1968 ,2015 ,183 000 km,Diesel,34502.0325203252
Volkswagen Golf VII,68990,2000 ,2015 ,37 000 km,Benzyna,34495
Opel Mokka,55000,1598 ,2015 ,71 579 km,Diesel,34418.0225281602
Volkswagen Golf VII,55000,1598 ,2015 ,145 000 km,Diesel,34418.0225281602
Škoda Octavia III,55000,1598 ,2018 ,30 300 km,Diesel,34418.0225281602
Volkswagen Passat B7,55000,1598 ,2015 ,110 468 km,Diesel,34418.0225281602
BMW Seria 5 F10,102990,2993 ,2014 ,130 000 km,Diesel,34410.29067824925
Ford S-Max II,68800,2000 ,2016 ,180 000 km,Diesel,34400
Ford Focus Mk3,34300,998,2013 ,114 203 km,Benzyna,34368.7374749499
Toyota Auris II,54900,1598 ,2016 ,75 000 km,Benzyna,34355.44430538172
BMW Seria 5 F10,68500,1995 ,2015 ,208 000 km,Diesel,34335.839598997496
Volkswagen Passat B8,54900,1600 ,2016 ,102 000 km,Diesel,34312.5
Volkswagen Touran II,54900,1600 ,2015 ,92 000 km,Diesel,34312.5
Audi S5,102900,3000 ,2013 ,157 000 km,Benzyna,34300
Volkswagen Caddy IV,67499,1968 ,2017 ,36 200 km,Diesel,34298.272357723574
Audi A3 8V,48000,1400 ,2013 ,34 000 km,Benzyna,34285.71428571428
BMW Seria 5 F10,68500,2000 ,2014 ,231 000 km,Diesel,34250
Audi A6 C7,68211,2000 ,2014 ,94 000 km,Diesel,34105.5
Opel Astra J,46499,1364 ,2014 ,65 381 km,Benzyna,34090.17595307918
Ford Kuga II,67999,1997 ,2015 ,112 936 km,Diesel,34050.57586379569
Opel Insignia A,67000,1968 ,2015 ,102 000 km,Diesel,34044.71544715447
BMW Seria 5 F10,67900,1995 ,2015 ,151 000 km,Diesel,34035.087719298244
BMW Seria 5 F10,68000,1998 ,2011 ,153 000 km,Diesel,34034.03403403403
Ford Mondeo Mk5,68000,1998 ,2017 ,6 392 km,Benzyna,34034.03403403403
BMW Seria 3 F30,102000,3000 ,2014 ,76 000 km,Benzyna,34000
Škoda Octavia III,66900,1968 ,2015 ,136 617 km,Diesel,33993.90243902439
Kia Ceed II,46500,1368 ,2017 ,15 200 km,Benzyna,33991.228070175435
Volkswagen Tiguan I,67900,2000 ,2015 ,89 000 km,Diesel,33950
